"Item Number","Category","Vendor Number","Pack","Bottle Volume (ml)","State Bottle Retail","County","Store Number","City","Bottles Sold","Popularity"
159,1011400,"085",6,750,23.36,81,242,125,3146,"Unpopular"
227,1012300,"420",2,750,74.99,5,8,5,552,"Unpopular"
238,1701100,"962",6,375,15,9,15,12,83,"Unpopular"
258,1081200,"305",1,6000,148.5,37,99,51,1032,"Unpopular"
266,1701100,"410",12,750,41.25,65,202,91,11091,"Unpopular"
287,1701100,"420",6,750,39.74,19,35,25,516,"Unpopular"
308,1011400,"085",6,750,41.24,49,124,63,1126,"Unpopular"
314,1701100,"255",4,750,39.2,20,25,21,100,"Unpopular"
322,1081300,"086",24,200,4.5,15,15,15,268,"Unpopular"
399,1701100,"065",1,6000,97.2,35,76,45,250,"Unpopular"
428,1701100,"065",6,750,22.61,68,180,105,1496,"Unpopular"
430,1701100,"065",12,50,3,73,258,114,16849,"Unpopular"
434,1701100,"065",6,750,15.75,101,469,169,9103,"Unpopular"
447,1700000,"065",6,750,30,76,236,116,4505,"Unpopular"
457,NA,"065",6,750,31.49,44,102,58,599,"Unpopular"
458,1701100,"322",6,750,22.5,9,12,11,52,"Unpopular"
464,1012300,"420",6,850,35.24,32,92,44,3119,"Unpopular"
470,1011400,"085",6,750,23.36,100,434,169,8557,"Unpopular"
479,1701100,"394",12,50,6.75,24,32,29,313,"Unpopular"
483,1701100,"370",6,750,14.99,64,178,89,2414,"Unpopular"
494,1701100,"035",3,1750,53.13,35,62,40,896,"Unpopular"
498,1701100,"085",6,750,23.36,68,217,105,3594,"Unpopular"
499,1701100,"085",6,750,18.26,28,51,34,624,"Unpopular"
500,1701100,"085",6,750,18.26,18,34,23,240,"Unpopular"
502,1701100,"085",6,750,23.36,40,79,56,1206,"Unpopular"
522,1700000,"065",6,750,26.25,88,334,126,10274,"Unpopular"
525,1701100,"065",6,750,26.25,63,194,95,4733,"Unpopular"
529,1012300,"035",6,750,54,17,35,24,228,"Unpopular"
550,1701100,"065",6,750,11.03,19,29,23,600,"Unpopular"
557,1081300,"305",15,400,6,83,207,112,13773,"Unpopular"
558,1701100,"260",4,1750,47.99,69,200,98,5218,"Unpopular"
559,NA,"255",4,750,39.2,8,9,8,15,"Unpopular"
567,1701100,"065",6,750,32.25,15,23,19,104,"Unpopular"
614,1701100,"305",6,750,19.5,87,312,132,7655,"Unpopular"
643,1022200,"395",6,750,16.61,56,197,81,3989,"Unpopular"
647,1701100,"370",6,800,16.46,71,233,107,3521,"Unpopular"
664,1070000,"557",12,100,14.25,23,38,30,245,"Unpopular"
678,1701100,"035",6,750,30,20,31,23,179,"Unpopular"
693,1701100,"085",6,750,23.36,33,56,41,535,"Unpopular"
699,1011200,"085",6,750,33.74,81,248,109,4147,"Unpopular"
725,1701100,"065",1,6000,78.75,17,29,23,50,"Unpopular"
789,1701100,"065",6,750,11.81,55,113,70,937,"Unpopular"
866,1701100,"260",3,750,195,62,176,82,689,"Unpopular"
890,1701100,"085",6,750,30.02,47,105,63,876,"Unpopular"
1016,1701100,"370",6,750,35.97,33,59,42,479,"Unpopular"
1025,1701100,"420",6,800,29.99,18,40,26,1124,"Unpopular"
1051,1012200,"370",6,750,29.97,17,22,19,98,"Unpopular"
1160,1701100,"205",6,750,52.5,36,71,48,456,"Unpopular"
1221,1701100,"260",6,750,31.5,21,43,28,1563,"Unpopular"
1258,1012300,"420",6,100,22.49,49,137,67,2933,"Unpopular"
1272,1012400,"240",6,750,36.78,20,29,22,254,"Unpopular"
1400,1012100,"260",6,750,22.61,102,551,182,25493,"Popular"
1488,1701100,"035",6,750,27.74,57,178,84,2964,"Unpopular"
1500,1701100,"370",6,750,23.99,24,36,29,300,"Unpopular"
1643,1052100,"420",12,750,29.24,1,1,1,12,"Unpopular"
1799,1062400,"260",6,1750,27,119,994,341,556447,"Popular"
1838,1701100,"370",3,1750,24.74,8,8,8,332,"Unpopular"
1876,1701100,"260",6,750,18.75,29,55,35,2136,"Unpopular"
1998,1701100,"065",6,750,31.49,32,68,37,495,"Unpopular"
2070,1052100,"420",6,750,44.99,1,1,1,1,"Unpopular"
2226,1081200,"259",6,1750,14.19,62,142,86,1907,"Unpopular"
2229,1081200,"259",12,750,6.71,97,352,155,17985,"Unpopular"
2368,1701100,"035",6,750,26.96,37,92,49,1338,"Unpopular"
2393,1701100,"065",6,750,25.19,36,134,50,1518,"Unpopular"
2511,1701100,"055",6,750,9,45,116,67,1390,"Unpopular"
2737,1701100,"240",6,750,31.5,33,57,41,379,"Unpopular"
2834,1701100,"370",6,750,16.49,78,228,123,2040,"Unpopular"
2916,1701100,"259",6,750,12.3,9,12,11,185,"Unpopular"
2959,1701100,"305",6,750,34.13,25,40,29,155,"Unpopular"
3121,1701100,"130",6,750,20.79,54,125,73,1185,"Unpopular"
3201,NA,"267",6,1750,16.49,13,19,17,107,"Unpopular"
3233,1701100,"205",6,750,31.5,8,12,10,13,"Unpopular"
3273,NA,"255",6,750,20.97,11,13,13,69,"Unpopular"
3345,1701100,"259",6,750,13.5,42,74,59,486,"Unpopular"
3347,1701100,"461",6,750,21.75,28,38,32,227,"Unpopular"
3354,1701100,"065",1,200,104.85,39,59,46,87,"Unpopular"
3456,1701100,"035",6,750,21,27,43,32,258,"Unpopular"
3526,1022200,"410",20,50,15.08,46,108,63,1198,"Unpopular"
3544,1701100,"065",6,750,16.5,29,46,33,594,"Unpopular"
3611,1701100,"260",6,750,41.24,30,76,38,557,"Unpopular"
3836,1071100,"305",1,2250,86.13,46,83,57,200,"Unpopular"
3891,1082000,"035",6,750,30,28,62,37,630,"Unpopular"
4000,1012300,"035",6,750,36,33,96,50,1823,"Unpopular"
4001,1022200,"395",6,750,16.61,56,182,83,4497,"Unpopular"
4029,1701100,"035",6,1000,34.13,30,55,40,1055,"Unpopular"
4030,1701100,"035",6,1750,53.15,33,67,44,572,"Unpopular"
4043,1701100,"065",6,750,20.25,51,153,73,2439,"Unpopular"
4044,1701100,"065",6,750,20.25,40,103,55,1673,"Unpopular"
4055,1701100,"055",6,750,16.88,38,80,56,678,"Unpopular"
4075,1701100,"370",6,750,97.44,13,27,18,30,"Unpopular"
4084,1012300,"370",6,750,41.22,65,191,94,8247,"Unpopular"
4090,1012300,"420",6,750,67.46,31,96,48,1637,"Unpopular"
4096,1012300,"420",6,750,39.74,64,229,97,6476,"Unpopular"
4111,1012300,"420",6,750,59.96,40,111,57,1696,"Unpopular"
4113,1052100,"420",3,750,629.99,19,41,24,115,"Unpopular"
4184,1012300,"420",6,750,44.99,31,98,44,2415,"Unpopular"
4241,1012300,"420",6,750,104.99,19,38,28,78,"Unpopular"
4246,1012300,"420",6,750,33.74,39,97,54,1781,"Unpopular"
4248,1700000,"420",6,750,134.99,7,13,10,59,"Unpopular"
4251,1701100,"420",6,750,104.99,19,48,27,60,"Unpopular"
4350,1701100,"240",6,750,52.49,19,45,29,239,"Unpopular"
4356,1012300,"240",12,750,48.75,74,295,105,20094,"Unpopular"
4357,1012300,"240",6,750,121.26,36,101,48,743,"Unpopular"
4367,1012300,"240",6,750,59.94,55,188,84,5590,"Unpopular"
4374,1012300,"240",6,750,90,37,112,51,1171,"Unpopular"
4381,1012200,"240",3,750,181.83,45,121,61,826,"Unpopular"
4430,1012300,"313",6,750,58.76,6,7,6,10,"Unpopular"
4436,1012300,"313",6,750,44.99,14,29,20,98,"Unpopular"
4441,1012200,"313",6,750,86.25,11,16,13,40,"Unpopular"
4456,1012200,"313",6,750,49.98,14,21,16,109,"Unpopular"
4457,1701100,"420",6,750,63.74,31,69,43,276,"Unpopular"
4571,1701100,"035",6,750,18.75,36,75,50,594,"Unpopular"
4573,1011100,"035",6,750,18.75,22,48,30,396,"Unpopular"
4585,1011100,"035",6,375,37.5,19,26,22,108,"Unpopular"
4590,1012200,"035",6,750,18.75,27,52,36,702,"Unpopular"
4592,1012200,"035",6,750,18.75,19,35,24,427,"Unpopular"
4610,1012200,"260",6,750,126.75,34,113,47,747,"Unpopular"
4611,1012200,"205",6,750,75,34,103,51,795,"Unpopular"
4616,1012200,"260",6,750,59.24,64,269,87,5325,"Unpopular"
4624,1012200,"260",24,375,18.74,28,105,36,1242,"Unpopular"
4626,1012200,"260",12,750,31.49,89,528,130,44458,"Popular"
4636,1012300,"065",6,750,41.25,56,184,80,2899,"Unpopular"
4656,1012300,"363",6,750,62.25,20,44,26,204,"Unpopular"
4698,1012200,"389",6,750,44.99,21,58,33,245,"Unpopular"
4716,1012200,"370",12,750,28.47,110,596,192,17539,"Unpopular"
4717,1012200,"370",12,1000,38.97,68,163,97,11150,"Unpopular"
4718,1012200,"370",6,1750,55.25,39,114,58,1749,"Unpopular"
4773,1012200,"260",6,750,24.74,40,101,58,639,"Unpopular"
4788,1012200,"260",6,750,41.25,6,9,8,121,"Unpopular"
4796,1012200,"266",12,750,15.03,95,309,164,8443,"Unpopular"
4798,1012200,"266",6,1750,30.08,43,82,54,2338,"Unpopular"
4810,1700000,"035",6,750,41.24,21,50,31,489,"Unpopular"
4825,1012200,"205",6,750,52.5,53,222,80,3378,"Unpopular"
4846,1012300,"260",12,750,51.74,52,172,76,3579,"Unpopular"
4852,1012200,"363",6,750,51.71,7,15,12,54,"Unpopular"
4853,1011100,"035",6,750,25.13,14,24,20,87,"Unpopular"
4854,1012300,"363",6,750,31.38,5,7,7,19,"Unpopular"
4861,1012200,"035",12,50,18.75,39,86,49,315,"Unpopular"
4866,1012200,"035",12,750,20.25,111,709,205,38354,"Popular"
4867,1012200,"035",12,1000,26.25,92,264,144,36161,"Popular"
4868,1012200,"035",6,1750,39.75,72,251,95,26048,"Popular"
4876,1012200,"035",12,750,30,62,208,96,4137,"Unpopular"
4878,1012200,"035",6,1750,42.47,12,20,16,176,"Unpopular"
4936,1012200,"266",12,750,18.05,76,253,110,11996,"Unpopular"
4947,1012300,"065",6,750,35.42,17,38,25,290,"Unpopular"
4949,1012300,"421",6,750,27.26,29,94,46,1198,"Unpopular"
4955,1012300,"322",6,750,22.5,16,35,24,556,"Unpopular"
4959,1012200,"322",6,750,28.5,48,169,69,3092,"Unpopular"
4977,1012200,"330",6,750,71.25,13,24,18,104,"Unpopular"
4989,1012200,"330",6,750,36,14,40,20,1354,"Unpopular"
4993,1012200,"330",6,750,39.84,30,87,46,2213,"Unpopular"
5002,1012200,"240",3,750,165.03,26,64,37,248,"Unpopular"
5004,1012300,"240",24,375,17.25,38,80,52,1750,"Unpopular"
5006,1012300,"240",12,750,35.22,96,540,159,25301,"Popular"
5008,1012200,"240",6,1750,63.72,16,34,23,613,"Unpopular"
5014,1012300,"240",12,750,51,66,246,91,6429,"Unpopular"
5036,1012300,"370",12,750,36.72,114,620,192,47392,"Popular"
5037,1012300,"370",12,1000,43.47,78,201,122,20257,"Unpopular"
5038,1012300,"370",6,1750,65.21,34,84,51,2728,"Unpopular"
5040,1012300,"370",6,750,89.96,62,215,90,3519,"Unpopular"
5061,1012300,"370",6,750,52.47,72,237,98,5881,"Unpopular"
5067,1012300,"420",4,750,149.99,23,57,31,415,"Unpopular"
5103,1012300,"420",6,750,46.49,40,142,56,4130,"Unpopular"
5104,1012300,"420",6,750,53.24,38,132,61,2392,"Unpopular"
5105,1012300,"420",6,750,49.49,34,121,52,4519,"Unpopular"
5106,1012200,"240",12,750,15.75,48,162,66,6311,"Unpopular"
5133,1012300,"420",6,750,35.24,77,312,108,13723,"Unpopular"
5136,1012300,"420",6,750,74.99,25,81,35,1864,"Unpopular"
5149,1012300,"370",6,750,71.21,32,79,43,951,"Unpopular"
5153,1012300,"370",12,750,31.47,47,160,63,15456,"Unpopular"
5157,1012300,"240",6,750,74.97,55,199,80,3136,"Unpopular"
5159,1012200,"240",6,750,40.01,53,233,83,5714,"Unpopular"
5201,1012200,"461",6,750,37.44,16,35,23,257,"Unpopular"
5242,1012200,"260",6,750,82.49,57,186,85,1389,"Unpopular"
5247,1012300,"266",6,750,41.34,52,149,74,3666,"Unpopular"
5281,1012200,"260",6,750,37.49,28,56,35,255,"Unpopular"
5286,1012300,"205",6,750,45,40,96,56,1696,"Unpopular"
5288,1012200,"260",6,1750,33.75,59,166,75,10199,"Unpopular"
5289,1012200,"260",12,1000,22.47,88,235,148,14068,"Unpopular"
5290,1012200,"260",12,750,18.38,105,580,200,12637,"Unpopular"
5318,1012200,"260",6,750,35.24,72,315,117,8582,"Unpopular"
5319,1012200,"260",6,750,82.49,15,29,22,57,"Unpopular"
5325,1012200,"260",24,375,17.25,66,288,93,6013,"Unpopular"
5326,1012200,"260",12,750,32.24,111,835,213,37168,"Popular"
5327,1012200,"260",12,1000,41.61,81,256,126,26124,"Popular"
5329,1012200,"260",6,750,195,78,347,122,4615,"Unpopular"
5345,1012200,"260",24,375,12,92,579,192,17236,"Unpopular"
5346,1012200,"260",12,750,20.25,114,928,234,61543,"Popular"
5347,1012200,"260",12,1000,25.65,96,346,180,22853,"Unpopular"
5349,1012200,"260",6,1750,39.75,62,232,86,18725,"Unpopular"
5350,1012200,"260",6,750,48.74,66,232,91,3916,"Unpopular"
5360,1012300,"205",6,1750,32.9,27,67,37,2974,"Unpopular"
5362,1012300,"205",12,750,17.51,48,141,61,5301,"Unpopular"
5404,1012300,"065",6,750,32.25,47,146,62,3079,"Unpopular"
5430,1012300,"260",12,750,75.74,62,224,95,6611,"Unpopular"
5433,1012200,"065",6,750,47.24,7,11,9,72,"Unpopular"
5443,1012200,"065",6,750,59.06,22,52,33,406,"Unpopular"
5446,1012300,"065",12,750,35.43,76,306,115,16379,"Unpopular"
5486,1012300,"266",12,750,52.49,82,344,124,18001,"Unpopular"
5492,1012300,"266",12,750,41.22,26,64,35,260,"Unpopular"
5507,1701100,"266",6,750,236.78,13,20,18,36,"Unpopular"
5516,1012300,"266",12,750,217.88,19,49,28,237,"Unpopular"
5555,1012300,"266",12,750,48.74,53,222,84,8563,"Unpopular"
5592,1701100,"266",12,750,81.18,21,43,31,171,"Unpopular"
5596,1012300,"065",12,750,23.61,69,200,99,5712,"Unpopular"
5605,1012200,"260",12,750,22.49,27,50,33,525,"Unpopular"
5606,1012300,"065",12,750,27.56,16,27,22,377,"Unpopular"
5614,1012300,"266",6,750,29.82,24,58,36,482,"Unpopular"
5633,1012200,"260",6,750,48.72,49,143,75,2499,"Unpopular"
5635,1012200,"240",6,750,26.25,83,358,121,25860,"Popular"
5643,1701100,"266",12,750,44.99,8,13,10,1032,"Unpopular"
5669,1012300,"322",6,750,22.5,25,65,38,1273,"Unpopular"
5672,1701100,"266",3,750,225.05,9,10,10,18,"Unpopular"
5673,1701100,"266",3,750,225.05,9,9,9,13,"Unpopular"
5677,1012200,"260",6,750,31.49,58,160,74,1486,"Unpopular"
5683,1011100,"338",6,750,37.35,15,26,20,98,"Unpopular"
5696,1012300,"260",12,750,61.5,54,191,82,5304,"Unpopular"
5700,1012300,"266",12,750,41.22,38,112,55,1133,"Unpopular"
5702,1012200,"260",6,750,97.49,45,125,69,920,"Unpopular"
5744,1012300,"266",6,750,210.27,47,146,73,1638,"Unpopular"
5745,1012300,"240",6,750,41.25,32,79,44,737,"Unpopular"
5747,1701100,"260",12,750,35.25,84,306,119,6737,"Unpopular"
5753,1012200,"260",12,300,90,63,169,83,820,"Unpopular"
5755,1012300,"421",6,750,33.75,12,28,19,305,"Unpopular"
5760,1012200,"421",6,750,90,2,2,2,5,"Unpopular"
5842,1012300,"370",6,750,41.22,56,195,85,4572,"Unpopular"
5844,1011100,"240",6,1750,52.5,28,56,40,641,"Unpopular"
5854,1012200,"313",6,750,47.76,12,18,12,74,"Unpopular"
5885,1012300,"322",6,750,22.5,25,71,39,1222,"Unpopular"
5890,1700000,"260",12,750,33.74,60,165,84,1373,"Unpopular"
5891,1701100,"260",12,750,33.74,57,145,76,1358,"Unpopular"
5898,1701100,"260",6,750,32.24,37,78,48,462,"Unpopular"
5918,1012300,"205",6,750,37.5,17,35,23,138,"Unpopular"
5921,1012200,"260",6,750,112.49,23,45,29,118,"Unpopular"
5924,1012300,"370",6,750,31.49,45,142,65,3126,"Unpopular"
5929,1701100,"420",6,750,63.74,31,67,42,332,"Unpopular"
5947,1700000,"260",4,750,195,21,39,28,60,"Unpopular"
5953,1701100,"420",1,750,618.74,5,6,5,6,"Unpopular"
5955,1700000,"420",6,750,74.99,20,33,26,119,"Unpopular"
5966,1700000,"260",6,750,59.99,50,155,76,856,"Unpopular"
6011,1012300,"420",6,750,26.24,30,83,44,450,"Unpopular"
6016,1701100,"260",6,750,67.49,41,141,71,1297,"Unpopular"
6024,1012200,"305",12,750,15.8,14,20,16,88,"Unpopular"
6026,1012200,"313",6,750,49.76,13,21,16,79,"Unpopular"
6027,1012200,"305",12,750,28.2,11,15,12,58,"Unpopular"
6029,1012200,"305",12,750,14.57,13,20,15,91,"Unpopular"
6032,1012200,"305",12,750,22.22,11,14,12,40,"Unpopular"
6041,1012200,"260",12,750,32.24,25,71,42,443,"Unpopular"
6051,1701100,"420",1,750,637.41,3,4,4,8,"Unpopular"
6052,1012200,"205",6,750,26.25,42,108,52,2621,"Unpopular"
6076,1012200,"260",6,750,26.25,53,170,73,6217,"Unpopular"
6105,1012300,"391",6,750,26.28,13,25,15,143,"Unpopular"
6206,1012300,"260",12,750,53.25,48,148,74,2331,"Unpopular"
6213,1012300,"205",6,750,30,18,36,26,255,"Unpopular"
6237,1012200,"065",12,1000,7.88,18,27,23,1203,"Unpopular"
6238,1012200,"065",6,1750,14.96,12,20,17,398,"Unpopular"
6296,1012200,"313",6,750,48,14,25,17,131,"Unpopular"
6316,1012300,"380",6,750,30.77,40,127,58,4273,"Unpopular"
6322,1012300,"380",6,750,26.25,22,63,37,525,"Unpopular"
6997,1012200,"240",12,1000,9.99,68,192,101,10137,"Unpopular"
6998,1012200,"240",6,1750,16.88,68,208,99,15869,"Unpopular"
7102,1012200,"803",12,1000,12.74,2,4,3,31,"Unpopular"
8208,1012200,"055",6,1750,15.78,29,56,36,2811,"Unpopular"
8824,1012200,"055",24,375,4.82,51,128,68,4088,"Unpopular"
8825,1012200,"055",12,750,7.2,61,158,87,14193,"Unpopular"
8826,1012200,"055",12,750,7.7,100,396,170,26431,"Popular"
8827,1012200,"055",12,1000,9.21,92,272,161,32184,"Popular"
8828,1012200,"055",6,1750,16.77,101,519,169,77495,"Popular"
9278,1012200,"460",6,1750,17.76,38,83,51,4047,"Unpopular"
9432,1012200,"421",6,1750,18.74,57,134,77,6214,"Unpopular"
10006,1012200,"421",12,750,7.7,96,358,153,16228,"Unpopular"
10008,1012200,"421",6,1750,15.75,103,465,162,67732,"Popular"
10009,1012200,"421",12,1000,10.11,65,126,89,8917,"Unpopular"
10278,1012200,"260",6,1750,15,32,82,46,8342,"Unpopular"
10548,1012100,"115",6,1750,19.49,113,752,278,124439,"Popular"
10550,1012100,"115",12,750,10.13,128,1786,434,427237,"Popular"
10623,1012100,"065",48,200,2.85,11,18,11,525,"Unpopular"
10624,1012100,"065",24,375,6.75,92,389,149,13219,"Unpopular"
10625,1012100,"065",12,750,12,81,229,127,13728,"Unpopular"
10626,1012100,"065",12,750,12,110,672,221,39019,"Popular"
10627,1012100,"065",12,1000,14.57,105,424,229,101246,"Popular"
10628,1012100,"065",6,1750,21.75,114,787,240,114620,"Popular"
10632,1012100,"065",12,750,14.96,61,152,87,6106,"Unpopular"
10781,1012100,"260",12,750,23.39,89,357,126,11639,"Unpopular"
10784,1701100,"260",12,750,23.39,113,822,255,47668,"Popular"
10788,1012100,"260",10,300,11.03,103,700,209,16224,"Unpopular"
10789,1012100,"260",44,200,7.08,75,334,117,18462,"Unpopular"
10790,1012100,"260",24,375,12,101,571,188,24159,"Unpopular"
10791,1012100,"260",12,750,23.39,121,1330,333,140337,"Popular"
10792,1012100,"260",12,1000,28.34,94,280,180,15358,"Unpopular"
10793,1012100,"260",6,1750,47.99,79,253,119,7126,"Unpopular"
10797,1701100,"260",12,750,23.39,76,214,106,3900,"Unpopular"
10802,1701100,"260",12,750,23.39,124,1690,421,202535,"Popular"
10803,1012100,"260",10,300,11.03,123,1526,375,149917,"Popular"
10804,1012100,"260",44,200,7.08,103,758,213,189858,"Popular"
10805,1012100,"260",24,375,12,121,1457,363,267431,"Popular"
10807,1012100,"260",12,750,23.39,129,1976,437,647915,"Popular"
10808,1012100,"260",12,1000,28.34,108,655,278,233096,"Popular"
10809,1012100,"260",6,1750,47.99,111,676,208,69588,"Popular"
10818,1012100,"260",12,750,23.39,94,313,153,4647,"Unpopular"
10826,1012100,"260",12,750,37.49,90,398,148,7301,"Unpopular"
10828,1012100,"260",12,750,23.39,93,453,170,7701,"Unpopular"
10830,1701100,"260",6,750,44.99,63,153,84,869,"Unpopular"
10834,1012100,"260",24,375,12.38,97,465,182,12603,"Unpopular"
10835,1701100,"260",6,750,44.99,56,120,71,950,"Unpopular"
10836,1012100,"260",12,750,25.5,112,741,216,31678,"Popular"
10838,1012100,"260",6,1750,50.69,64,138,85,2931,"Unpopular"
10842,1701100,"260",6,750,44.99,49,146,78,880,"Unpopular"
10846,1012100,"065",12,750,19.68,65,158,87,4364,"Unpopular"
10852,1701100,"260",6,750,59.99,40,95,56,539,"Unpopular"
10855,1012100,"065",12,750,18.11,23,55,36,461,"Unpopular"
10888,1012100,"118",6,750,29.21,42,95,55,693,"Unpopular"
10889,1012100,"118",12,750,29.21,9,9,9,41,"Unpopular"
10890,1012100,"461",12,750,15.78,82,251,134,10360,"Unpopular"
10932,1012100,"434",12,50,6,42,101,58,947,"Unpopular"
10933,1012100,"434",12,750,6.75,34,74,46,1485,"Unpopular"
10934,1012100,"434",12,1000,8.15,18,24,21,310,"Unpopular"
10935,1012100,"434",6,1750,13.5,58,162,91,2671,"Unpopular"
10937,1012100,"434",12,750,6.75,15,16,16,295,"Unpopular"
11010,1012100,"100",6,750,46.49,7,16,10,44,"Unpopular"
11206,1012100,"229",6,750,22.49,11,14,14,137,"Unpopular"
11285,1012100,"260",6,750,99.74,77,284,119,3255,"Unpopular"
11287,1701100,"260",6,750,104.99,35,81,48,396,"Unpopular"
11290,1012100,"260",10,300,11.03,127,1661,396,134746,"Popular"
11294,1012100,"260",24,375,12,125,1686,393,274396,"Popular"
11296,1012100,"260",12,750,23.39,129,1987,426,701204,"Popular"
11297,1012100,"260",12,1000,28.34,115,751,277,529124,"Popular"
11298,1012100,"260",6,1750,47.99,120,908,269,180197,"Popular"
11299,1012100,"260",44,200,7.5,96,680,167,124360,"Popular"
11346,1012100,"421",12,750,11.25,99,473,181,22024,"Unpopular"
11347,1012100,"421",12,1000,14.99,98,275,167,17673,"Unpopular"
11348,1012100,"421",6,1750,24,105,483,188,59830,"Popular"
11366,1012100,"260",12,750,37.5,90,425,155,14600,"Unpopular"
11370,1081600,"115",12,500,7.5,32,60,44,466,"Unpopular"
11371,1081600,"115",12,750,13.73,69,190,92,7600,"Unpopular"
11586,1012100,"115",12,750,10.5,115,804,254,105610,"Popular"
11588,1012100,"115",6,1750,19.49,113,612,229,73755,"Popular"
11771,1012100,"115",10,600,10.2,128,1678,414,108549,"Popular"
11773,1012100,"115",48,200,2.34,113,864,236,519900,"Popular"
11774,1012100,"115",24,375,4.61,128,1737,414,879577,"Popular"
11776,1012100,"115",12,750,7.85,128,1831,427,632159,"Popular"
11777,1012100,"115",12,1000,9.95,122,961,339,492015,"Popular"
11786,1012100,"115",12,750,7.85,123,1112,339,346117,"Popular"
11788,1012100,"115",6,1750,15.68,130,1982,440,2365480,"Popular"
11909,1012100,"055",12,375,3.09,39,55,45,7138,"Unpopular"
11910,1012100,"055",12,750,6.33,47,83,59,12714,"Unpopular"
11912,1012100,"055",6,1750,13.08,48,84,58,6259,"Unpopular"
11936,1012100,"055",12,750,6.51,79,277,124,31009,"Popular"
11940,1012100,"421",12,750,7.5,61,147,86,18256,"Unpopular"
12404,1012100,"055",24,375,3.08,98,524,173,137839,"Popular"
12406,1012100,"055",12,750,6.51,105,536,206,40267,"Popular"
12407,1012100,"055",12,1000,8.25,92,324,181,41090,"Popular"
12408,1012100,"055",6,1750,12.21,120,991,287,271164,"Popular"
12409,1012100,"055",48,100,1.34,40,116,54,26284,"Popular"
12464,1012100,"085",24,375,4.35,49,156,63,7832,"Unpopular"
12466,1012100,"085",12,750,8.22,90,372,143,15903,"Unpopular"
12467,1012100,"085",12,1000,10.83,81,169,117,9339,"Unpopular"
12476,1012100,"085",12,750,8.16,78,278,118,18128,"Unpopular"
12478,1012100,"085",6,1750,16.59,100,541,165,58371,"Popular"
12668,1012100,"300",6,1750,14.61,57,108,80,11436,"Unpopular"
12853,1012100,"421",5,50,7.74,15,20,17,264,"Unpopular"
12856,1012100,"421",6,750,9.75,84,278,124,44754,"Popular"
12858,1012100,"421",6,1750,18.75,17,30,23,569,"Unpopular"
12860,1012100,"421",12,750,9.75,40,91,56,6013,"Unpopular"
12861,1012100,"421",10,50,7.74,45,86,59,947,"Unpopular"
12862,1012100,"421",12,750,7.5,45,94,59,3057,"Unpopular"
12863,1012100,"421",12,750,7.5,46,99,56,2862,"Unpopular"
12865,1012100,"421",5,600,9,49,96,61,881,"Unpopular"
12871,1012100,"421",10,50,7.74,43,85,53,972,"Unpopular"
12872,1012100,"421",12,750,7.5,62,156,91,8032,"Unpopular"
12881,1012100,"421",10,50,7.74,37,79,50,637,"Unpopular"
12886,1012100,"421",12,750,7.5,39,75,50,1629,"Unpopular"
12888,1012100,"421",6,1750,13.47,96,389,160,64804,"Popular"
13036,1012100,"434",12,750,6.39,81,251,125,11067,"Unpopular"
13037,1012100,"434",12,1000,7.97,68,138,98,9155,"Unpopular"
13038,1012100,"434",6,1750,13.5,102,425,176,54209,"Popular"
13062,1701100,"260",12,750,22.61,1,1,1,1,"Unpopular"
13388,1012100,"055",6,1750,13.08,48,75,59,4803,"Unpopular"
13542,1012100,"421",6,750,18,28,55,34,524,"Unpopular"
13638,1012100,"434",6,1750,14.96,74,191,110,10359,"Unpopular"
13730,1011600,"978",6,750,69.99,25,46,34,222,"Unpopular"
13928,1012100,"115",6,1750,13.43,40,66,52,4343,"Unpopular"
14192,1012100,"395",12,750,19.65,117,595,215,60058,"Popular"
14199,1012100,"395",6,1750,36.12,86,226,134,11335,"Unpopular"
14208,1012100,"395",6,750,30,80,221,104,5106,"Unpopular"
14210,1012100,"395",12,750,26.13,65,177,95,3507,"Unpopular"
14474,1012100,"380",12,750,11.99,102,425,166,38434,"Popular"
14483,1012100,"380",1,3000,44.01,27,55,33,327,"Unpopular"
14484,1012100,"380",12,750,11.99,82,258,127,17164,"Unpopular"
14487,1012100,"380",12,750,11.99,71,208,104,6434,"Unpopular"
14489,1012100,"380",6,500,7.34,13,14,13,50,"Unpopular"
14490,1012100,"380",12,750,11.99,74,200,110,7033,"Unpopular"
14492,1012100,"380",12,50,6.9,52,90,62,1029,"Unpopular"
14493,1011100,"380",12,500,7.34,28,50,39,965,"Unpopular"
14495,1011100,"380",12,500,7.34,37,62,48,782,"Unpopular"
14498,1012100,"380",1,3000,44.01,50,94,57,595,"Unpopular"
14501,1012100,"380",12,750,11.99,77,192,112,7444,"Unpopular"
14505,1012100,"380",48,200,2.51,18,27,21,590,"Unpopular"
14512,1012100,"380",12,50,7.34,29,43,35,400,"Unpopular"
14513,1012100,"380",12,750,11.99,30,59,38,966,"Unpopular"
14515,1012100,"380",12,50,6.9,54,97,71,957,"Unpopular"
14516,1012100,"380",12,750,12.51,56,116,74,2243,"Unpopular"
14518,1012100,"380",12,50,7.34,82,260,132,5201,"Unpopular"
14519,1012100,"380",12,750,12,80,303,143,11406,"Unpopular"
14521,1012100,"380",12,50,6.9,60,121,74,1539,"Unpopular"
14522,1012100,"380",48,200,2.51,30,41,35,1252,"Unpopular"
14523,1012100,"380",12,750,12.51,68,174,100,4908,"Unpopular"
