"Item Number","Category","Vendor Number","Pack","Bottle Volume (ml)","State Bottle Retail","County","Store Number","City","Bottles Sold","Popularity"
926438,1011600,"434",6,750,48,1,1,1,142,"Unpopular"
926442,1011700,"573",6,750,52.1,1,1,1,2400,"Unpopular"
926448,1011700,"594",6,750,14.28,1,1,1,114,"Unpopular"
926449,1011600,"232",6,750,37.5,2,2,2,54,"Unpopular"
926471,1011400,"633",6,750,35.18,1,1,1,66,"Unpopular"
926475,1011600,"536",6,750,63.75,1,1,1,6,"Unpopular"
926476,1011600,"539",6,750,52.5,4,5,5,36,"Unpopular"
926478,1011600,"539",6,750,64.5,2,2,2,12,"Unpopular"
926479,1011600,"121",3,750,285,14,18,15,18,"Unpopular"
926491,1011200,"325",12,375,16.88,1,1,1,360,"Unpopular"
926497,1011600,"277",6,750,224.99,45,129,66,156,"Unpopular"
926507,1011600,"536",6,750,67.5,2,2,2,210,"Unpopular"
926519,1011600,"255",6,750,33.75,8,12,10,3157,"Unpopular"
926521,1011600,"305",6,750,69,2,2,2,24,"Unpopular"
926546,1011700,"525",12,750,29.25,4,4,4,60,"Unpopular"
926556,1011600,"368",6,750,64.01,1,2,1,12,"Unpopular"
926557,1091100,"481",6,750,16.01,1,1,1,30,"Unpopular"
926566,1011200,"118",6,750,76.01,1,1,1,6,"Unpopular"
926567,1011300,"085",6,750,44.97,24,30,29,30,"Unpopular"
926568,1011200,"118",6,750,82.01,1,1,1,6,"Unpopular"
926577,1011800,"566",6,750,28.5,1,1,1,132,"Unpopular"
926581,1011400,"085",12,50,18.75,1,1,1,12,"Unpopular"
926592,1011300,"260",12,750,37.49,1,1,1,180,"Unpopular"
926596,1901200,"260",12,750,27.68,4,5,5,108,"Unpopular"
926610,1011600,"608",6,750,45,8,14,10,168,"Unpopular"
926611,1011600,"370",6,750,59.97,3,4,3,54,"Unpopular"
926617,1011600,"259",3,750,112.5,15,20,18,20,"Unpopular"
926618,1011100,"287",3,750,42.63,20,30,26,30,"Unpopular"
926620,1011700,"594",12,750,13.53,1,1,1,36,"Unpopular"
926622,1011700,"594",12,750,10.11,1,1,1,72,"Unpopular"
926624,1011700,"594",12,750,15.8,1,2,1,672,"Unpopular"
926632,1011300,"232",6,750,37.5,2,3,2,498,"Unpopular"
926668,1011100,"305",6,750,60.75,1,1,1,6,"Unpopular"
926669,1011700,"469",6,750,37.5,24,50,35,370,"Unpopular"
926672,1012300,"343",6,750,72.75,1,1,1,12,"Unpopular"
926673,1011200,"260",12,750,26.24,1,2,2,48,"Unpopular"
926674,1012300,"343",6,750,115.26,1,1,1,12,"Unpopular"
926676,1012300,"343",6,750,115.26,1,1,1,6,"Unpopular"
926684,1011800,"566",6,750,11.9,1,1,1,4764,"Unpopular"
